Token Index,Starting Character Index,Stop Character Index,Text,Display Name,Line Number,Column Number
0,0,5,import,'import',1,0
1,6,6," ",WS,1,6
2,7,10,java,IDENTIFIER,1,7
3,11,11,.,'.',1,11
4,12,13,io,IDENTIFIER,1,12
5,14,14,.,'.',1,14
6,15,28,BufferedReader,IDENTIFIER,1,15
7,29,29,;,';',1,29
8,30,30,\n,WS,1,30
9,31,36,import,'import',2,0
10,37,37," ",WS,2,6
11,38,41,java,IDENTIFIER,2,7
12,42,42,.,'.',2,11
13,43,44,io,IDENTIFIER,2,12
14,45,45,.,'.',2,14
15,46,62,InputStreamReader,IDENTIFIER,2,15
16,63,63,;,';',2,32
17,64,64,\n,WS,2,33
18,65,70,import,'import',3,0
19,71,71," ",WS,3,6
20,72,75,java,IDENTIFIER,3,7
21,76,76,.,'.',3,11
22,77,80,util,IDENTIFIER,3,12
23,81,81,.,'.',3,16
24,82,90,ArrayList,IDENTIFIER,3,17
25,91,91,;,';',3,26
26,92,92,\n,WS,3,27
27,93,98,import,'import',4,0
28,99,99," ",WS,4,6
29,100,103,java,IDENTIFIER,4,7
30,104,104,.,'.',4,11
31,105,108,util,IDENTIFIER,4,12
32,109,109,.,'.',4,16
33,110,115,Arrays,IDENTIFIER,4,17
34,116,116,;,';',4,23
35,117,117,\n,WS,4,24
36,118,123,import,'import',5,0
37,124,124," ",WS,5,6
38,125,128,java,IDENTIFIER,5,7
39,129,129,.,'.',5,11
40,130,133,util,IDENTIFIER,5,12
41,134,134,.,'.',5,16
42,135,144,Comparator,IDENTIFIER,5,17
43,145,145,;,';',5,27
44,146,146,\n,WS,5,28
45,147,152,import,'import',6,0
46,153,153," ",WS,6,6
47,154,157,java,IDENTIFIER,6,7
48,158,158,.,'.',6,11
49,159,162,util,IDENTIFIER,6,12
50,163,163,.,'.',6,16
51,164,170,HashMap,IDENTIFIER,6,17
52,171,171,;,';',6,24
53,172,172,\n,WS,6,25
54,173,178,import,'import',7,0
55,179,179," ",WS,7,6
